period,stateid,stateDescription,sectorid,sectorName,price,price-units
2019-12,US,U.S. Total,IND,industrial,6.38,cents per kilowatthour
2019-12,US,U.S. Total,COM,commercial,10.32,cents per kilowatthour
2019-11,US,U.S. Total,ALL,all sectors,10.38,cents per kilowatthour
2019-11,US,U.S. Total,TRA,transportation,9.52,cents per kilowatthour
2019-11,US,U.S. Total,RES,residential,13.03,cents per kilowatthour
2019-11,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-11,US,U.S. Total,IND,industrial,6.72,cents per kilowatthour
2019-11,US,U.S. Total,COM,commercial,10.57,cents per kilowatthour
2019-10,US,U.S. Total,ALL,all sectors,10.39,cents per kilowatthour
2019-10,US,U.S. Total,TRA,transportation,9.72,cents per kilowatthour
2019-10,US,U.S. Total,RES,residential,12.81,cents per kilowatthour
2019-10,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-10,US,U.S. Total,IND,industrial,6.84,cents per kilowatthour
2019-10,US,U.S. Total,COM,commercial,10.74,cents per kilowatthour
2019-09,US,U.S. Total,ALL,all sectors,10.82,cents per kilowatthour
2019-09,US,U.S. Total,TRA,transportation,9.78,cents per kilowatthour
2019-09,US,U.S. Total,RES,residential,13.16,cents per kilowatthour
2019-09,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-09,US,U.S. Total,IND,industrial,7.06,cents per kilowatthour
2019-09,US,U.S. Total,COM,commercial,10.96,cents per kilowatthour
2019-08,US,U.S. Total,ALL,all sectors,11.05,cents per kilowatthour
2019-08,US,U.S. Total,TRA,transportation,9.65,cents per kilowatthour
2019-08,US,U.S. Total,RES,residential,13.3,cents per kilowatthour
2019-08,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-08,US,U.S. Total,IND,industrial,7.4,cents per kilowatthour
2019-08,US,U.S. Total,COM,commercial,11.02,cents per kilowatthour
2019-07,US,U.S. Total,ALL,all sectors,11,cents per kilowatthour
2019-07,US,U.S. Total,TRA,transportation,9.82,cents per kilowatthour
2019-07,US,U.S. Total,RES,residential,13.26,cents per kilowatthour
2019-07,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-07,US,U.S. Total,IND,industrial,7.14,cents per kilowatthour
2019-07,US,U.S. Total,COM,commercial,11.02,cents per kilowatthour
2019-06,US,U.S. Total,COM,commercial,10.9,cents per kilowatthour
2019-06,US,U.S. Total,ALL,all sectors,10.74,cents per kilowatthour
2019-06,US,U.S. Total,TRA,transportation,10.01,cents per kilowatthour
2019-06,US,U.S. Total,RES,residential,13.32,cents per kilowatthour
2019-06,US,U.S. Total,OTH,other,,cents per kilowatthour
